,,,,,,
Arena Matchings,,,,,,
,,,,,,
game_version,end_time,date,character,card_title,wins,player_id
5.0.0.12574,1:52 PM,4/27/2016,Mage,Master Jouster,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Demolisher,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Bog Creeper,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Lance Carrier,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Sen'jin Shieldmasta,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Anubisath Sentinel,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Flying Machine,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Twisted Worgen,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Jungle Panther,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Nerubian Egg,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Bilefin Tidehunter,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Troggzor the Earthinator,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Arcane Missiles,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Chillwind Yeti,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Tauren Warrior,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Infested Tauren,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Mirror Entity,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Bilefin Tidehunter,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Flame Lance,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Gadgetzan Auctioneer,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Evil Heckler,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Salty Dog,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Amani Berserker,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Silver Hand Regent,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Cone of Cold,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,River Crocolisk,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Argent Squire,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Mad Scientist,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Aberrant Berserker,3,1
5.0.0.12574,1:52 PM,4/27/2016,Mage,Emperor Cobra,3,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Cogmaster,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Frostbolt,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Frostbolt,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Explosive Sheep,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Faerie Dragon,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Mad Bomber,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Snowchugger,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Snowchugger,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Ice Block,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Polymorph: Boar,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Earthen Ring Farseer,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Harvest Golum,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Kirin Tor Mage,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Silver Hand Regent,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Echo of Medivh,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Burly Rockjaw Trogg,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Midnight Drake,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Water Elementatal,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Water Elementatal,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Corrupted Healbot,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Gurubashi Berserker,4,1
5.0.0.12574,6:00 AM,4/28/2016,Mage,Gurubashi Berserker,4,1
